obligation_id,article,obligation,coverage_type,module_key,module_name,module_domain,module_role,grounding,scope_note
art_3_c_inc2,Art. 3° c) inc. 2,Proporcionalidad / retención del dato,out-of-scope,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Business-decision. Ciclo de vida del dato = plataforma del cliente. CSAM solo inventaría dónde viven los datos.
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,vmdr_pm,VMDR + Patch Management,vulnerabilidades + remediación,full-in-domain,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,pc_pa,Policy Compliance / Policy Audit,config compliance & hardening,full-in-domain,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,was_tas,WAS / TotalAppSec,web & API,full-in-domain,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,cs,Container Security,imágenes / registry / runtime / K8s,full-in-domain,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,cspm,TotalCloud / CloudView (CSPM),cloud posture + IaC,full-in-domain,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,fim_fam,FIM / FAM,integridad de archivos & acceso a dato,detection-substrate,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,edr,EDR,endpoint / IoC / contención,detection-substrate,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,csam,CyberSecurity Asset Management (CSAM),superficie / inventario de activos,detection-substrate,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
art_3_f,Art. 3° f),Principio de seguridad (paraguas),detection-substrate,certview,Certificate View (CertView),TLS/SSL en tránsito,detection-substrate,grounded,Sustrato técnico del principio. Qualys detecta/verifica; NO implementa el control (cifrado/backup fuera).
