key,group,kind,qualys_app,control_system,pc_importable,benchmark,cis_version,pillars,law_articles,status,notes
win10,Endpoints · Windows,os,Policy Compliance,pc-library,yes,CIS Microsoft Windows 10 Enterprise Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
win11,Endpoints · Windows,os,Policy Compliance,pc-library,yes,CIS Microsoft Windows 11 Enterprise Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
macos,Endpoints · macOS,os,Policy Compliance,pc-library,yes,CIS Apple macOS Benchmark (versión = la de la flota; OJO: la librería suele rezagar),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
win_server_2016,Server OS · Windows,os,Policy Compliance,pc-library,yes,CIS Microsoft Windows Server 2016 Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
win_server_2019,Server OS · Windows,os,Policy Compliance,pc-library,yes,CIS Microsoft Windows Server 2019 Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
win_server_2022,Server OS · Windows,os,Policy Compliance,pc-library,yes,CIS Microsoft Windows Server 2022 Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
win_server_2025,Server OS · Windows,os,Policy Compliance,pc-library,yes,CIS Microsoft Windows Server 2025 Benchmark,,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
rhel,Server OS · Linux (RHEL family),os,Policy Compliance,pc-library,yes,CIS Red Hat Enterprise Linux Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
oracle_linux,Server OS · Linux (RHEL family),os,Policy Compliance,pc-library,yes,CIS Oracle Linux Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
centos,Server OS · Linux (RHEL family),os,Policy Compliance,pc-library,yes,CIS CentOS Linux Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
rocky,Server OS · Linux (RHEL family),os,Policy Compliance,pc-library,yes,CIS Rocky Linux Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
alma,Server OS · Linux (RHEL family),os,Policy Compliance,pc-library,yes,CIS AlmaLinux OS Benchmark (versión = la de la flota),,acceso; cifrado; auditoria; hardening,Art. 14 bis; Art. 14 quater; Art. 14 quinquies (inc. final); Art. 14 quinquies a); Art. 14 quinquies b); Art. 14 quinquies d); Art. 14 sexies; Art. 3 f); Art. 3 h),active,
